absolutize: absolutise
absolutized: absolutised
absolutizes: absolutises
absolutizing: absolutising
accessorize: accessorise
accessorized: accessorised
accessorizes: accessorises
accessorizing: accessorising
acclimatization: acclimatisation
acclimatize: acclimatise
acclimatized: acclimatised
acclimatizes: acclimatises
acclimatizing: acclimatising
actualization: actualisation
actualize: actualise
actualized: actualised
actualizes: actualises
actualizing: actualising
aggrandize: aggrandise
aggrandized: aggrandised
aggrandizement: aggrandisement
aggrandizes: aggrandises
aggrandizing: aggrandising
agonize: agonise
agonized: agonised
agonizes: agonises
agonizing: agonising
agonizingly: agonisingly
airplane: aeroplane
airplanes: aeroplanes
alphabetization: alphabetisation
alphabetize: alphabetise
alphabetized: alphabetised
alphabetizes: alphabetises
alphabetizing: alphabetising
aluminum: aluminium
amortizable: amortisable
amortization: amortisation
amortize: amortise
amortized: amortised
amortizes: amortises
amortizing: amortising
analog: analogue
analogs: analogues
analyze: analyse
analyzed: analysed
analyzer: analyser
analyzers: analysers
analyzes: analyses
analyzing: analysing
anglicization: anglicisation
anglicizations: anglicisations
anglicize: anglicise
anglicized: anglicised
anglicizes: anglicises
anglicizing: anglicising
anonymization: anonymisation
anonymize: anonymise
anonymized: anonymised
anonymizer: anonymiser
anonymizers: anonymisers
anonymizes: anonymises
anonymizing: anonymising
antagonize: antagonise
antagonized: antagonised
antagonizes: antagonises
antagonizing: antagonising
anthropomorphization: anthropomorphisation
anthropomorphize: anthropomorphise
anthropomorphized: anthropomorphised
anthropomorphizes: anthropomorphises
anthropomorphizing: anthropomorphising
apologize: apologise
apologized: apologised
apologizes: apologises
apologizing: apologising
appetizer: appetiser
appetizers: appetisers
armor: armour
armored: armoured
armorer: armourer
armorers: armourers
armors: armours
armory: armoury
artifact: artefact
artifacts: artefacts
authorization: authorisation
authorizations: authorisations
authorize: authorise
authorized: authorised
authorizes: authorises
authorizing: authorising
baptize: baptise
baptized: baptised
baptizes: baptises
baptizing: baptising
behavior: behaviour
behavioral: behavioural
behaviorism: behaviourism
behaviorist: behaviourist
behaviorists: behaviourists
behaviors: behaviours
bobsled: bobsleigh
